Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
153,Duquesne,A-10,,19,13,73.5,72.3,1.16,,-0.42,,2.72,-1.99,0.74,104.35,102.73,1.63
154,Bucknell,Patriot,,21,12,76.8,73.3,3.52,,-2.82,,3.63,-2.93,0.70,104.38,103.42,0.96
155,Eastern Michigan,MAC (West),,15,17,68.8,69.2,-0.31,,4.61,,-5.50,6.07,0.57,102.61,101.64,0.97
156,Alabama-Birmingham,CUSA,,20,15,70.6,67.7,2.86,,-1.44,,-1.49,1.92,0.44,105.54,103.99,1.55
157,Bradley,MVC,,20,15,66.5,65.3,1.26,,-0.62,,-4.48,4.69,0.20,101.80,100.89,0.91
158,Colorado State,MWC,,12,20,74.8,75.2,-0.41,,1.64,,2.22,-2.10,0.12,108.43,107.54,0.88
159,Brown,Ivy,,20,11,73.9,68.5,5.45,,-3.30,,-0.98,1.06,0.08,97.30,97.19,0.11
160,North Texas,CUSA,,21,12,69.8,62.9,6.82,,-3.40,,-6.33,6.16,-0.17,98.55,97.68,0.87
161,Saint Joseph's,A-10,,14,19,70.5,72.6,-2.09,,1.88,,1.73,-1.95,-0.22,105.20,105.05,0.15
162,Texas-Arlington,Sun Belt,,17,16,69.2,69.8,-0.58,,1.05,,-3.62,3.33,-0.29,99.27,98.75,0.52
163,New Mexico,MWC,,14,18,76.3,76.7,-0.34,,1.86,,4.86,-5.16,-0.30,103.39,103.03,0.36
164,Missouri State,MVC,,16,16,68.9,67.4,1.53,,-0.75,,-3.06,2.15,-0.91,103.04,103.10,-0.05
165,Richmond,A-10,,13,20,70.1,70.7,-0.58,,-0.60,,-0.23,-0.94,-1.17,107.97,108.97,-1.00
166,Hawaii,Big West,,18,13,72.3,68.7,3.55,,-3.49,,-2.01,0.82,-1.18,103.68,105.07,-1.39
167,Coastal Carolina,Sun Belt,,16,16,76.4,73.0,3.38,,-2.30,,1.64,-2.84,-1.20,103.65,104.91,-1.26
168,Northern Iowa,MVC,,16,18,65.1,65.6,-0.44,,0.93,,-6.09,4.87,-1.22,100.73,101.61,-0.88
169,Seattle,WAC,,18,15,73.3,69.2,4.15,,-3.63,,-2.52,1.27,-1.24,100.78,101.99,-1.22
170,Florida Atlantic,CUSA,,17,16,70.4,68.0,2.39,,-1.65,,-4.04,2.72,-1.32,98.66,99.44,-0.78
171,Marshall,CUSA,,20,14,80.1,81.3,-1.18,,-0.22,,8.86,-10.25,-1.39,105.84,106.89,-1.06
172,Texas-Rio Grande Valley,WAC,,20,16,70.8,70.3,0.56,,-1.32,,-1.72,0.22,-1.49,97.56,98.86,-1.30
173,UC-Santa Barbara,Big West,,22,10,73.4,66.1,7.38,,-5.49,,-3.27,1.72,-1.55,103.81,105.13,-1.32
174,Washington State,Pac-12,,11,21,74.8,78.7,-3.88,,2.19,,4.08,-5.77,-1.68,106.00,108.24,-2.24
175,Abilene Christian,Southland,,27,7,73.6,63.6,10.03,,-7.22,,-4.11,2.32,-1.78,101.23,102.68,-1.44
176,Illinois State,MVC,,17,16,68.4,70.1,-1.73,,0.53,,-2.26,0.48,-1.78,101.25,103.24,-1.99
177,Ohio,MAC (East),,14,17,70.1,73.8,-3.68,,3.22,,-2.03,0.25,-1.78,97.44,99.67,-2.23
178,Santa Clara,WCC,,16,15,68.2,70.1,-1.84,,1.03,,-3.14,1.33,-1.81,100.72,102.37,-1.65
179,Louisiana,Sun Belt,,19,13,81.6,80.5,1.16,,-1.32,,5.96,-7.85,-1.89,105.08,107.03,-1.95
180,Stony Brook,AEC,,24,9,71.6,66.3,5.33,,-6.29,,-2.57,0.66,-1.91,97.04,99.65,-2.61
181,Charleston Southern,Big South,,18,15,76.0,69.6,6.39,,-4.07,,-1.21,-0.83,-2.03,100.27,102.11,-1.84
182,Lehigh,Patriot,,20,11,80.0,77.8,2.13,,-4.30,,6.25,-8.42,-2.17,106.14,108.94,-2.79
183,Oakland,Horizon,,16,17,76.8,76.2,0.58,,-1.42,,2.44,-4.64,-2.20,107.58,110.10,-2.52
184,Omaha,Summit,,21,11,78.8,76.7,2.16,,-3.31,,3.60,-5.84,-2.24,108.13,110.58,-2.45
185,Pacific,WCC,,14,18,66.8,70.0,-3.22,,2.12,,-5.30,2.99,-2.31,99.82,103.56,-3.74
186,Indiana State,MVC,,15,16,69.2,71.5,-2.32,,0.84,,-1.00,-1.50,-2.50,100.82,103.65,-2.83
187,Mercer,Southern,,11,20,72.5,72.5,0.06,,0.07,,-2.54,-0.02,-2.55,101.96,104.45,-2.50
188,IUPUI,Horizon,,16,17,76.0,73.6,2.36,,-2.99,,-0.76,-1.90,-2.66,101.29,104.20,-2.91
189,Winthrop,Big South,,18,12,83.3,78.6,4.70,,-3.61,,6.09,-8.84,-2.75,105.01,107.90,-2.88
190,Green Bay,Horizon,,18,16,81.0,80.2,0.82,,0.16,,6.13,-8.90,-2.77,103.07,105.74,-2.67
191,Massachusetts,A-10,,11,21,70.7,73.6,-2.84,,0.02,,-0.13,-2.70,-2.82,103.41,107.29,-3.88
192,Gardner-Webb,Big South,,23,11,78.3,70.5,7.79,,-5.21,,1.18,-4.04,-2.86,104.08,107.46,-3.38
193,Presbyterian,Big South,,19,15,78.6,72.3,6.38,,-5.24,,2.16,-5.17,-3.01,107.02,110.25,-3.23
194,Sam Houston State,Southland,,21,12,75.0,69.9,5.12,,-5.67,,-0.94,-2.07,-3.01,102.53,106.20,-3.68
195,Illinois-Chicago,Horizon,,16,16,74.7,74.5,0.19,,-1.89,,0.01,-3.06,-3.06,99.38,102.54,-3.16
196,Valparaiso,MVC,,15,18,66.8,66.3,0.55,,-0.69,,-6.25,3.17,-3.08,97.88,101.94,-4.06
197,University of California,Pac-12,,8,23,68.4,77.0,-8.58,,5.48,,-1.37,-1.74,-3.11,103.58,107.62,-4.04
198,Princeton,Ivy,,16,12,69.6,69.7,-0.11,,-0.63,,-5.18,2.01,-3.17,96.81,100.51,-3.70
199,Cal State Fullerton,Big West,,16,18,71.7,71.0,0.68,,-1.02,,-1.24,-1.94,-3.18,97.37,101.41,-4.04
200,NJIT,A-Sun,,22,12,70.6,68.2,2.44,,-4.76,,-3.91,0.66,-3.25,99.85,103.80,-3.94
201,Purdue-Fort Wayne,Summit,,18,15,82.7,77.5,5.21,,-3.47,,5.51,-8.85,-3.34,105.10,109.30,-4.20
202,La Salle,A-10,,10,21,67.5,72.4,-4.90,,1.54,,-2.17,-1.20,-3.37,98.91,102.63,-3.72
203,North Florida,A-Sun,,16,17,75.3,76.7,-1.39,,-0.64,,2.51,-5.92,-3.41,101.40,104.91,-3.51
204,Campbell,Big South,,20,13,75.6,70.5,5.06,,-4.33,,-1.04,-2.53,-3.57,106.64,110.50,-3.86
205,Evansville,MVC,,11,21,69.8,72.4,-2.59,,0.39,,-1.29,-2.29,-3.58,98.88,103.41,-4.53
206,Appalachian State,Sun Belt,,11,21,79.9,79.3,0.56,,0.20,,4.75,-8.38,-3.63,104.88,109.27,-4.40
